Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,Signal,Stoch,ATR,OBV,ADX
5/9/2017,1755.359985,1833.48999,1716.300049,1723.890015,1167920000,1405.125488,1452.843786,92.63157172,129.3005574,94.43374605,93.67122118,55.53894368,13072973260,56.21196916
5/10/2017,1787.130005,1788.439941,1719.099976,1756.52002,915723008,1433.027991,1484.680569,93.15603678,139.6331613,103.4736291,92.61279767,56.52480047,13988696268,58.70601516
5/11/2017,1848.569946,1873.930054,1755.349976,1780.369995,799489984,1464.353986,1519.3367,94.03959551,151.038437,112.9865907,91.15922997,60.95761049,14788186252,61.12322141
5/12/2017,1724.23999,1856.150024,1694.01001,1845.76001,740984000,1488.980487,1538.851299,73.39138156,148.3348995,120.0562524,86.82197686,68.18536442,14047202252,61.85568775
5/13/2017,1804.910034,1812.98999,1651.079956,1723.119995,579635008,1518.865491,1564.190226,76.9307545,150.9615342,126.2373088,85.50491968,74.88036158,14626837260,61.59908801
5/14/2017,1808.910034,1831.420044,1776.619995,1800.859985,437196000,1546.803491,1587.496875,77.09345764,151.6181679,131.3134806,82.83518017,73.44597835,15064033260,61.46268716
5/15/2017,1738.430054,1812.800049,1708.540039,1808.439941,731529024,1570.450494,1601.871463,67.99385067,144.7824475,134.007274,81.90453237,75.64708772,14332504236,59.97107749
5/16/2017,1734.449951,1785.939941,1686.540039,1741.699951,959044992,1593.118994,1614.497986,67.50925271,137.4593826,134.6976957,75.11746917,77.34379401,13373459244,58.18457951
5/17/2017,1839.089966,1864.050049,1661.910034,1726.72998,1064729984,1619.186993,1635.887698,72.96471031,138.5028015,135.4587169,76.21022912,86.25818386,14438189228,57.14169157
5/18/2017,1888.650024,1904.47998,1807.119995,1818.699951,894321024,1647.795496,1659.960301,75.09743262,141.6954244,136.7060584,84.65655051,87.05120059,15332510252,56.45064533
5/19/2017,1987.709961,2004.52002,1890.25,1897.369995,1157289984,1681.091492,1691.174554,78.71223293,150.4842216,139.461691,94.34642956,89.1097604,16489800236,56.39049075
5/20/2017,2084.72998,2084.72998,1974.920044,1984.23999,961336000,1717.93349,1728.656023,81.53873687,163.3946002,144.2482729,97.37697681,90.58839409,17451136236,56.70886462
5/21/2017,2041.199951,2119.080078,2037.5,2067.030029,1147859968,1748.913489,1758.422112,76.62297559,168.1750415,149.0336266,93.81554164,89.94492287,16303276268,57.14886028
5/22/2017,2173.399902,2303.899902,2017.869995,2043.189941,1942220032,1784.942487,1797.943806,80.47319155,180.5497419,155.3368497,88.36493668,103.951399,18245496300,58.16810247
